Nome,Num Linhas, Out knee, eps, num clusters 
000-20081023025304,907,8,64.11,3
000-20081024020959,243,12,4.85,3
000-20081026134407,744,35,8.09,5
000-20081028003826,1476,5,22.02,3
000-20081029093038,181,11,4.34,2
000-20081103232153,2230,5,50.12,3
000-20081110013637,271,6,40.31,2
000-20081111001704,1476,14,9.24,3
000-20081112023003,680,16,18.71,2
000-20081113034608,493,17,53.85,2
000-20081114015255,336,4,140.04,2
000-20081114101436,304,4,217.28,3
000-20081115010133,280,6,44.35,2
000-20081117051133,80,36,9.15,3
000-20081117155223,313,26,7.92,6
000-20081118095400,253,9,23.17,2
000-20081119012806,80,13,7.03,3
000-20081119112035,418,2,91.69,2
000-20081120035736,54,6,14.97,2
000-20081122012309,306,8,60.72,2
000-20081201111827,182,17,4.26,4
000-20081203032326,86,11,5.25,3
000-20081203151206,278,3,14.02,2
000-20081203234939,84,1,135.12,2
000-20081210023503,131,2,9.21,2
000-20081211121432,120,2,9.01,4
000-20081212042525,337,7,20.32,2
000-20081212101236,95,10,5.83,4
000-20081214011036,145,6,7.48,3
000-20090330005208,1327,27,80.68,2
000-20090331003904,1449,13,15.0,3
000-20090401050607,692,9,10.22,4
000-20090402060732,1006,10,86.61,2
000-20090403011657,14185,11,110.0,5
000-20090405051938,4003,25,30.65,2
000-20090406023702,2237,18,5.57,3
000-20090409182800,132,3,2.32,3
000-20090410021935,1885,8,19.55,2
000-20090411052358,2238,11,68.22,2
000-20090412004905,128,18,3.13,4
000-20090412073303,1753,6,16.16,2
000-20090413050806,1935,9,24.52,2
000-20090413144632,97,16,2.26,4
000-20090413213935,3118,11,22.5,3
000-20090415000406,144,4,8.39,2
000-20090415074008,1139,6,6.42,3
000-20090416002705,1818,11,68.01,2
000-20090417002430,897,7,35.12,2
000-20090418172238,177,7,4.82,2
000-20090419005226,2843,13,14.74,3
000-20090419175500,284,15,5.0,3
000-20090420013034,978,8,70.86,2
000-20090420235106,582,4,160.22,2
000-20090422023859,1102,6,155.25,2
000-20090422203607,94,4,3.3,3
000-20090423092838,278,1,5.16,2
000-20090423181101,221,19,2.02,3
000-20090424004737,1265,20,9.24,3
000-20090424171137,118,12,6.27,3
000-20090425005731,3320,16,32.75,2
000-20090426025714,2078,14,41.49,2
000-20090426175513,151,31,8.01,3
000-20090427010230,1207,26,13.0,2
000-20090427215826,185,2,7.64,2
000-20090428051631,459,3,20.43,2
000-20090429005954,2957,21,77.17,3
000-20090430032332,3669,10,8.0,2
000-20090501035138,2504,12,22.5,2
000-20090502074907,2320,25,12.15,2
000-20090503033926,2358,7,37.35,3
000-20090504023301,721,13,10.01,2
000-20090504203925,78,25,3.0,3
000-20090505032432,664,10,7.55,2
000-20090505195337,151,11,5.09,2
000-20090506125906,194,22,14.01,3
000-20090507024201,1079,13,45.34,2
000-20090507192952,165,23,9.02,5
000-20090508015405,132,4,5.05,2
000-20090508100431,354,3,6.41,2
000-20090509050136,539,3,86.21,2
000-20090509181636,172,7,1.38,5
000-20090510020206,816,2,10.19,2
000-20090510222007,87,8,4.2,2
000-20090511064136,460,5,7.19,3
000-20090511174427,200,17,4.02,2
000-20090512013109,1083,16,30.89,2
000-20090512195558,99,5,3.03,3
000-20090513054336,644,7,66.3,2
000-20090514015425,679,5,52.22,2
000-20090515014004,977,7,162.1,2
000-20090516091038,316,1,4.0,2
000-20090517054624,1010,11,16.02,2
000-20090517220626,373,2,11.34,3
000-20090518064638,1246,41,8.96,5
000-20090519094537,454,2,19.86,2
000-20090519174038,113,3,6.01,3
000-20090520010901,184,4,3.99,5
000-20090520125535,93,3,6.05,3
